RANK,TOTAL_ORDERS,CUSTOMER_ID
1,3710,0
2,248,14911
3,224,12748
4,169,17841
5,128,14606
6,118,13089
6,118,15311
8,89,12971
9,86,14527
10,81,13408
11,77,14646
12,76,16029
13,75,16422
14,66,14156
15,63,13798
16,62,18102
17,60,13694
18,55,15061
18,55,17450
20,54,16013
21,53,15189
22,52,13767
22,52,15039
22,52,17949
25,51,17811
26,50,12921
27,49,12471
28,46,16133
28,46,17511
30,45,14298
31,43,13078
31,43,13534
31,43,17315
31,43,17389
31,43,17677
36,41,13098
36,41,13468
36,41,13777
36,41,17675
40,40,13113
41,39,13199
41,39,16839
41,39,17961
44,38,15078
45,36,12901
45,36,13319
47,35,12569
47,35,13263
47,35,15005
47,35,15498
47,35,17850
52,34,14096
52,34,14735
52,34,15159
55,33,13599
55,33,17428
57,32,14194
58,31,12682
58,31,14180
58,31,15856
58,31,16684
58,31,17581
58,31,17757
58,31,18109
58,31,18118
66,30,12474
66,30,17243
66,30,17381
69,29,12720
69,29,13018
69,29,13668
69,29,13854
69,29,14056
69,29,15358
69,29,15769
69,29,16525
69,29,16705
78,28,13050
78,28,14849
78,28,16168
78,28,16523
78,28,16779
83,27,12681
83,27,13069
83,27,13102
83,27,13267
83,27,14667
83,27,14688
83,27,14796
83,27,15615
83,27,16033
83,27,17017
83,27,17865
83,27,18223
95,26,12415
95,26,12709
95,26,12841
95,26,14051
95,26,16161
95,26,16729
95,26,16923
102,25,14534
102,25,16191
102,25,17857
102,25,18172
106,24,14189
106,24,14217
106,24,14560
106,24,14895
106,24,15465
106,24,16558
112,23,12621
112,23,13418
112,23,14031
112,23,14397
112,23,14680
112,23,15125
112,23,15502
112,23,16353
112,23,16672
121,22,13004
121,22,13458
121,22,13881
121,22,14562
121,22,15044
121,22,15194
121,22,15513
121,22,16333
121,22,16814
121,22,17068
121,22,17576
121,22,17706
121,22,18041
134,21,13081
134,21,14543
134,21,15290
134,21,15838
134,21,16656
134,21,16713
134,21,16931
134,21,17306
134,21,17377
134,21,18198
144,20,12476
144,20,12683
144,20,12931
144,20,13576
144,20,13969
144,20,14060
144,20,15291
144,20,15555
144,20,15805
144,20,15827
144,20,16393
144,20,16401
144,20,16626
144,20,18229
158,19,12437
158,19,12540
158,19,12757
158,19,12989
158,19,13266
158,19,14085
158,19,14367
158,19,15738
158,19,15804
158,19,16592
158,19,16746
158,19,16782
158,19,16928
158,19,16945
158,19,17611
158,19,17735
174,18,12431
174,18,12583
174,18,12584
174,18,13047
174,18,13090
174,18,14032
174,18,14057
174,18,14299
174,18,14415
174,18,14702
174,18,15144
174,18,15187
174,18,16145
174,18,16210
174,18,16458
174,18,16701
174,18,16745
174,18,16764
174,18,17404
174,18,17652
174,18,17719
174,18,18241
196,17,12712
196,17,13148
196,17,13269
196,17,13488
196,17,13709
196,17,14092
196,17,14607
196,17,15601
196,17,15640
196,17,16187
196,17,16670
196,17,16678
196,17,16700
196,17,16843
196,17,17238
196,17,17613
196,17,17644
196,17,17920
196,17,18225
215,16,12708
215,16,12839
215,16,13014
215,16,13094
215,16,13552
215,16,13769
215,16,13985
215,16,14426
215,16,14800
215,16,15046
215,16,15152
215,16,15271
215,16,15482
215,16,15622
215,16,15867
215,16,15939
215,16,15955
215,16,16011
215,16,16607
215,16,16722
215,16,16904
215,16,17340
215,16,17346
215,16,17690
215,16,17954
215,16,18283
241,15,12395
241,15,13001
241,15,13013
241,15,13230
241,15,13268
241,15,13695
241,15,13756
241,15,13999
241,15,14040
241,15,14135
241,15,14227
241,15,14282
241,15,14410
241,15,14462
241,15,14733
241,15,14808
241,15,14952
241,15,15249
241,15,15251
241,15,15602
241,15,15611
241,15,15694
241,15,16326
241,15,16570
241,15,17139
241,15,17730
241,15,17809
241,15,18065
269,14,12553
269,14,12705
269,14,12731
269,14,12955
269,14,13097
269,14,13115
269,14,13742
269,14,13871
269,14,13890
269,14,14088
269,14,14159
269,14,14191
269,14,14243
269,14,14292
269,14,14329
269,14,14401
269,14,14456
269,14,14502
269,14,14709
269,14,14944
269,14,15298
269,14,15301
269,14,15547
269,14,15581
269,14,15719
269,14,16553
269,14,16912
269,14,17071
269,14,17220
269,14,17231
269,14,17419
269,14,17651
269,14,17659
269,14,17696
269,14,17725
269,14,17790
269,14,17940
269,14,17965
269,14,17975
269,14,18075
269,14,18226
310,13,12362
310,13,12472
310,13,12483
310,13,12494
310,13,12500
310,13,12523
310,13,12619
310,13,12626
310,13,12647
310,13,12678
310,13,13093
310,13,13588
310,13,13880
310,13,13983
310,13,14110
310,13,14211
310,13,14239
310,13,14390
310,13,14525
310,13,14573
310,13,14776
310,13,14866
310,13,15021
310,13,15373
310,13,15514
310,13,15518
310,13,15521
310,13,15570
310,13,16156
310,13,16186
310,13,16241
310,13,16817
310,13,16818
310,13,17069
310,13,17402
310,13,17870
310,13,17924
310,13,18073
348,12,12417
348,12,12428
348,12,12457
348,12,12662
348,12,12779
348,12,12877
348,12,12957
348,12,12980
348,12,13021
348,12,13184
348,12,13324
348,12,13426
348,12,13571
348,12,13631
348,12,13993
348,12,14062
348,12,14099
348,12,14112
348,12,14132
348,12,14291
348,12,14395
348,12,14659
348,12,14701
348,12,14711
348,12,14713
348,12,14755
348,12,14825
348,12,14961
348,12,15023
348,12,15235
348,12,15281
348,12,15529
348,12,15660
348,12,15696
348,12,15737
348,12,15854
348,12,15971
348,12,16293
348,12,16316
348,12,16359
348,12,16794
348,12,16837
348,12,17061
348,12,17364
348,12,17716
348,12,17769
348,12,17858
348,12,17997
348,12,18092
348,12,18144
348,12,18257
399,11,12352
399,11,12481
399,11,12567
399,11,12594
399,11,12600
399,11,12747
399,11,12753
399,11,12947
399,11,13012
399,11,13136
399,11,13178
399,11,13209
399,11,13629
399,11,13630
399,11,13725
399,11,13784
399,11,13924
399,11,13971
399,11,14505
399,11,14810
399,11,15033
399,11,15034
399,11,15058
399,11,15059
399,11,15129
399,11,15150
399,11,15201
399,11,15218
399,11,15299
399,11,15544
399,11,15606
399,11,15687
399,11,15708
399,11,15932
399,11,15984
399,11,16076
399,11,16265
399,11,16474
399,11,16638
399,11,16652
399,11,16712
399,11,16767
399,11,16775
399,11,16919
399,11,16985
399,11,17001
399,11,17049
399,11,17063
399,11,17162
399,11,17213
399,11,17230
399,11,17314
399,11,17490
399,11,17491
399,11,17509
399,11,17512
399,11,17528
399,11,17799
399,11,18044
399,11,18055
399,11,18077
399,11,18219
461,10,12490
461,10,12637
461,10,12664
461,10,12704
461,10,12744
461,10,12867
461,10,12949
461,10,13082
461,10,13126
461,10,13305
461,10,13394
461,10,13448
461,10,13491
461,10,13700
461,10,13704
461,10,13755
461,10,13862
461,10,13870
461,10,14188
461,10,14221
461,10,14258
461,10,14309
461,10,14388
461,10,14441
461,10,14572
461,10,14587
461,10,14732
461,10,14769
461,10,14901
461,10,14903
461,10,14907
461,10,15024
461,10,15114
461,10,15296
461,10,15304
461,10,15351
461,10,15356
461,10,15473
461,10,15527
461,10,15628
461,10,15632
461,10,15671
461,10,15764
461,10,15796
461,10,15845
461,10,15916
461,10,15953
461,10,15993
461,10,16016
461,10,16019
461,10,16057
461,10,16150
461,10,16180
461,10,16255
461,10,16407
461,10,16426
461,10,16549
461,10,16710
461,10,16813
461,10,16873
461,10,16942
461,10,16966
461,10,17091
461,10,17114
461,10,17218
461,10,17338
461,10,17422
461,10,17442
461,10,17451
461,10,17504
461,10,17530
461,10,17567
461,10,17612
461,10,17705
461,10,17837
461,10,17888
461,10,18061
461,10,18230
539,9,12408
539,9,12423
539,9,12473
539,9,12477
539,9,12598
539,9,12679
539,9,12727
539,9,12843
539,9,12853
539,9,12963
539,9,13137
539,9,13183
539,9,13317
539,9,13327
539,9,13384
539,9,13435
539,9,13610
539,9,13842
539,9,13883
539,9,13911
539,9,13988
539,9,14071
539,9,14083
539,9,14201
539,9,14334
539,9,14341
539,9,14407
539,9,14524
539,9,14533
539,9,14546
539,9,14547
539,9,14696
539,9,14704
539,9,14738
539,9,14744
539,9,14794
539,9,14868
539,9,14878
539,9,14936
539,9,15093
539,9,15241
539,9,15270
539,9,15365
539,9,15596
539,9,15750
539,9,15811
539,9,15861
539,9,15874
539,9,16306
539,9,16362
539,9,16365
539,9,16394
539,9,16550
539,9,16609
539,9,16686
539,9,16717
539,9,16875
539,9,16954
539,9,16996
539,9,17097
539,9,17173
539,9,17188
539,9,17193
539,9,17204
539,9,17211
539,9,17293
539,9,17323
539,9,17368
539,9,17416
539,9,17434
539,9,17629
539,9,17634
539,9,17663
539,9,17750
539,9,17800
539,9,17828
539,9,17848
539,9,17861
539,9,18008
539,9,18168
619,8,12464
619,8,12484
619,8,12524
619,8,12528
619,8,12656
619,8,12749
619,8,12783
619,8,12826
619,8,12856
619,8,12909
619,8,12910
619,8,12919
619,8,12935
619,8,12939
619,8,12948
619,8,12951
619,8,13026
619,8,13110
619,8,13117
619,8,13139
619,8,13198
619,8,13225
619,8,13477
619,8,13481
619,8,13505
619,8,13520
619,8,13527
619,8,13549
619,8,13715
619,8,13735
619,8,13743
619,8,14030
619,8,14102
619,8,14107
619,8,14113
619,8,14232
619,8,14262
619,8,14344
619,8,14364
619,8,14414
619,8,14472
619,8,14541
619,8,14639
619,8,14640
619,8,14676
619,8,14730
619,8,14739
619,8,14766
619,8,14834
619,8,14842
619,8,14854
619,8,14898
619,8,14976
619,8,15107
619,8,15128
619,8,15134
619,8,15140
619,8,15214
619,8,15260
619,8,15370
619,8,15379
619,8,15382
619,8,15410
619,8,15443
619,8,15625
619,8,15658
619,8,15674
619,8,15752
619,8,15755
619,8,15785
619,8,15860
619,8,15864
619,8,15881
619,8,15903
619,8,15906
619,8,15910
619,8,15974
619,8,15981
619,8,16115
619,8,16218
619,8,16242
619,8,16332
619,8,16360
619,8,16719
619,8,16725
619,8,16743
619,8,16790
619,8,16791
619,8,16905
619,8,16910
619,8,16979
619,8,16983
619,8,17090
619,8,17109
619,8,17164
619,8,17183
619,8,17228
619,8,17365
619,8,17372
619,8,17396
619,8,17449
619,8,17460
619,8,17526
619,8,17562
619,8,17591
619,8,17602
619,8,17655
619,8,17739
619,8,17758
619,8,17819
619,8,17867
619,8,17894
619,8,17988
619,8,18116
619,8,18139
619,8,18245
619,8,18260
736,7,12347
736,7,12409
736,7,12433
736,7,12463
736,7,12562
736,7,12599
736,7,12610
736,7,12627
736,7,12674
736,7,12684
736,7,12721
736,7,12726
736,7,12766
736,7,12778
736,7,12830
736,7,12997
736,7,13118
736,7,13134
736,7,13208
736,7,13232
736,7,13246
736,7,13340
736,7,13381
736,7,13410
736,7,13437
736,7,13456
736,7,13499
736,7,13509
736,7,13536
736,7,13538
736,7,13590
736,7,13623
736,7,13627
736,7,13650
736,7,13658
736,7,13662
736,7,13685
736,7,13717
736,7,13758
736,7,13804
736,7,13941
736,7,13953
736,7,13975
736,7,13991
736,7,14004
736,7,14047
736,7,14064
736,7,14175
736,7,14178
736,7,14198
736,7,14209
736,7,14210
736,7,14214
736,7,14215
736,7,14226
736,7,14267
736,7,14315
736,7,14404
736,7,14408
736,7,14409
736,7,14428
736,7,14443
736,7,14466
736,7,14487
736,7,14493
736,7,14507
736,7,14626
736,7,14653
736,7,14665
736,7,14883
736,7,14910
736,7,14948
736,7,15038
736,7,15105
736,7,15106
736,7,15110
736,7,15179
736,7,15220
736,7,15240
736,7,15426
736,7,15453
736,7,15491
736,7,15493
736,7,15505
736,7,15535
736,7,15563
736,7,15572
736,7,15706
736,7,15727
736,7,15810
736,7,15987
736,7,15996
736,7,16027
736,7,16042
736,7,16098
736,7,16107
736,7,16143
736,7,16170
736,7,16173
736,7,16184
736,7,16266
736,7,16283
736,7,16321
736,7,16348
736,7,16419
736,7,16434
736,7,16455
736,7,16463
736,7,16466
736,7,16477
736,7,16531
736,7,16554
736,7,16556
736,7,16633
736,7,16735
736,7,16744
736,7,16841
736,7,16871
736,7,16880
736,7,16892
736,7,16918
736,7,16929
736,7,16949
736,7,16987
736,7,17007
736,7,17027
736,7,17096
736,7,17107
736,7,17126
736,7,17133
736,7,17135
736,7,17191
736,7,17214
736,7,17284
736,7,17287
736,7,17288
736,7,17337
736,7,17412
736,7,17426
736,7,17519
736,7,17596
736,7,17669
736,7,17673
736,7,17676
736,7,17682
736,7,17685
736,7,17686
736,7,17744
736,7,17813
736,7,17874
736,7,17937
736,7,18069
736,7,18094
736,7,18097
736,7,18171
736,7,18177
736,7,18272
893,6,12359
893,6,12381
893,6,12383
893,6,12388
893,6,12451
893,6,12455
893,6,12517
893,6,12520
893,6,12576
893,6,12601
893,6,12613
893,6,12643
893,6,12668
893,6,12670
893,6,12676
893,6,12685
893,6,12691
893,6,12693
893,6,12700
893,6,12722
893,6,12775
893,6,12782
893,6,12828
893,6,12840
893,6,12868
893,6,13027
893,6,13092
893,6,13104
893,6,13138
893,6,13141
893,6,13213
893,6,13282
893,6,13310
893,6,13320
893,6,13397
893,6,13450
893,6,13451
893,6,13495
893,6,13523
893,6,13593
893,6,13632
893,6,13636
893,6,13654
893,6,13672
893,6,13728
893,6,13752
893,6,13782
893,6,13802
893,6,13831
893,6,13860
893,6,13882
893,6,13884
893,6,13925
893,6,13949
893,6,13984
893,6,13994
893,6,13995
893,6,14049
893,6,14078
893,6,14101
893,6,14121
893,6,14141
893,6,14146
893,6,14235
893,6,14257
893,6,14289
893,6,14290
893,6,14297
893,6,14307
893,6,14312
893,6,14342
893,6,14359
893,6,14419
893,6,14422
893,6,14432
893,6,14434
893,6,14475
893,6,14482
893,6,14503
893,6,14511
893,6,14515
893,6,14530
893,6,14565
893,6,14595
893,6,14621
893,6,14623
893,6,14719
893,6,14723
893,6,14741
893,6,14745
893,6,14748
893,6,14829
893,6,14841
893,6,14852
893,6,14931
893,6,15027
893,6,15065
893,6,15081
893,6,15089
893,6,15100
893,6,15117
893,6,15122
893,6,15203
893,6,15208
893,6,15215
893,6,15253
893,6,15380
893,6,15400
893,6,15434
893,6,15508
893,6,15532
893,6,15594
893,6,15620
893,6,15621
893,6,15643
893,6,15681
893,6,15722
893,6,15745
893,6,15809
893,6,15814
893,6,15834
893,6,15841
893,6,15898
893,6,15998
893,6,16059
893,6,16086
893,6,16094
893,6,16103
893,6,16131
893,6,16235
893,6,16271
893,6,16327
893,6,16341
893,6,16493
893,6,16497
893,6,16500
893,6,16566
893,6,16600
893,6,16618
893,6,16628
893,6,16655
893,6,16668
893,6,16681
893,6,16770
893,6,16809
893,6,16877
893,6,16899
893,6,16915
893,6,16989
893,6,16992
893,6,16998
893,6,17048
893,6,17050
893,6,17054
893,6,17085
893,6,17086
893,6,17095
893,6,17147
893,6,17160
893,6,17180
893,6,17203
893,6,17227
893,6,17236
893,6,17302
893,6,17386
893,6,17463
893,6,17469
893,6,17527
893,6,17552
893,6,17593
893,6,17609
893,6,17633
893,6,17671
893,6,17700
893,6,17702
893,6,17722
893,6,17723
893,6,17754
893,6,17838
893,6,17856
893,6,17863
893,6,17873
893,6,17912
893,6,17994
893,6,18037
893,6,18122
893,6,18161
893,6,18167
893,6,18178
893,6,18179
893,6,18180
893,6,18183
893,6,18210
893,6,18221
893,6,18231
893,6,18236
1089,5,12380
1089,5,12407
1089,5,12413
1089,5,12421
1089,5,12427
1089,5,12432
1089,5,12444
1089,5,12502
1089,5,12518
1089,5,12530
1089,5,12536
1089,5,12539
1089,5,12557
1089,5,12597
1089,5,12616
1089,5,12633
1089,5,12645
1089,5,12654
1089,5,12657
1089,5,12697
1089,5,12714
1089,5,12723
1089,5,12754
1089,5,12781
1089,5,12823
1089,5,12854
1089,5,12906
1089,5,12912
1089,5,12913
1089,5,12916
1089,5,12924
1089,5,12928
1089,5,12936
1089,5,12952
1089,5,12994
1089,5,13015
1089,5,13048
1089,5,13079
1089,5,13107
1089,5,13109
1089,5,13145
1089,5,13157
1089,5,13159
1089,5,13162
1089,5,13168
1089,5,13171
1089,5,13186
1089,5,13217
1089,5,13238
1089,5,13265
1089,5,13309
1089,5,13313
1089,5,13316
1089,5,13323
1089,5,13362
1089,5,13510
1089,5,13517
1089,5,13524
1089,5,13564
1089,5,13575
1089,5,13577
1089,5,13634
1089,5,13644
1089,5,13647
1089,5,13680
1089,5,13692
1089,5,13719
1089,5,13748
1089,5,13750
1089,5,13771
1089,5,13808
1089,5,13813
1089,5,13815
1089,5,13824
1089,5,13856
1089,5,13875
1089,5,13894
1089,5,13895
1089,5,13901
1089,5,13908
1089,5,13950
1089,5,13956
1089,5,13982
1089,5,14005
1089,5,14016
1089,5,14035
1089,5,14077
1089,5,14111
1089,5,14116
1089,5,14129
1089,5,14133
1089,5,14145
1089,5,14176
1089,5,14177
1089,5,14229
1089,5,14231
1089,5,14233
1089,5,14245
1089,5,14251
1089,5,14276
1089,5,14286
1089,5,14305
1089,5,14321
1089,5,14389
1089,5,14403
1089,5,14440
1089,5,14442
1089,5,14447
1089,5,14477
1089,5,14498
1089,5,14506
1089,5,14553
1089,5,14583
1089,5,14584
1089,5,14625
1089,5,14655
1089,5,14657
1089,5,14673
1089,5,14684
1089,5,14691
1089,5,14692
1089,5,14698
1089,5,14837
1089,5,14859
1089,5,14875
1089,5,14916
1089,5,14959
1089,5,14963
1089,5,14978
1089,5,15032
1089,5,15048
1089,5,15050
1089,5,15079
1089,5,15095
1089,5,15098
1089,5,15108
1089,5,15132
1089,5,15136
1089,5,15157
1089,5,15172
1089,5,15181
1089,5,15197
1089,5,15227
1089,5,15228
1089,5,15238
1089,5,15267
1089,5,15288
1089,5,15312
1089,5,15329
1089,5,15344
1089,5,15367
1089,5,15392
1089,5,15411
1089,5,15416
1089,5,15449
1089,5,15468
1089,5,15484
1089,5,15511
1089,5,15533
1089,5,15561
1089,5,15569
1089,5,15584
1089,5,15605
1089,5,15618
1089,5,15669
1089,5,15676
1089,5,15712
1089,5,15777
1089,5,15786
1089,5,15808
1089,5,15812
1089,5,15815
1089,5,15839
1089,5,15855
1089,5,15858
1089,5,15882
1089,5,15938
1089,5,15950
1089,5,16003
1089,5,16066
1089,5,16081
1089,5,16085
1089,5,16092
1089,5,16120
1089,5,16128
1089,5,16153
1089,5,16172
1089,5,16201
1089,5,16203
1089,5,16209
1089,5,16225
1089,5,16232
1089,5,16233
1089,5,16240
1089,5,16245
1089,5,16249
1089,5,16258
1089,5,16325
1089,5,16350
1089,5,16358
1089,5,16379
1089,5,16389
1089,5,16395
1089,5,16409
1089,5,16438
1089,5,16440
1089,5,16444
1089,5,16456
1089,5,16470
1089,5,16499
1089,5,16503
1089,5,16515
1089,5,16533
1089,5,16571
1089,5,16637
1089,5,16654
1089,5,16660
1089,5,16676
1089,5,16682
1089,5,16709
1089,5,16711
1089,5,16726
1089,5,16748
1089,5,16750
1089,5,16755
1089,5,16768
1089,5,16771
1089,5,16774
1089,5,16801
1089,5,16859
1089,5,16869
1089,5,16891
1089,5,16900
1089,5,16907
1089,5,16933
1089,5,16938
1089,5,16955
1089,5,16984
1089,5,17042
1089,5,17059
1089,5,17062
1089,5,17075
1089,5,17115
1089,5,17131
1089,5,17175
1089,5,17262
1089,5,17272
1089,5,17317
1089,5,17348
1089,5,17350
1089,5,17400
1089,5,17405
1089,5,17406
1089,5,17410
1089,5,17440
1089,5,17457
1089,5,17470
1089,5,17481
1089,5,17516
1089,5,17522
1089,5,17554
1089,5,17560
1089,5,17603
1089,5,17648
1089,5,17653
1089,5,17656
1089,5,17667
1089,5,17692
1089,5,17728
1089,5,17731
1089,5,17738
1089,5,17770
1089,5,17774
1089,5,17779
1089,5,17827
1089,5,17869
1089,5,17929
1089,5,17930
1089,5,17966
1089,5,17979
1089,5,18016
1089,5,18093
1089,5,18125
1089,5,18135
1089,5,18211
1089,5,18232
1089,5,18237
1089,5,18239
1377,4,12348
1377,4,12364
1377,4,12370
1377,4,12393
1377,4,12399
1377,4,12429
1377,4,12434
1377,4,12449
1377,4,12456
1377,4,12462
1377,4,12480
1377,4,12504
1377,4,12507
1377,4,12560
1377,4,12577
1377,4,12578
1377,4,12585
1377,4,12615
1377,4,12628
1377,4,12649
1377,4,12669
1377,4,12680
1377,4,12695
1377,4,12710
1377,4,12724
1377,4,12728
1377,4,12755
1377,4,12820
1377,4,12836
1377,4,12845
1377,4,12879
1377,4,12883
1377,4,12885
1377,4,12888
1377,4,12908
1377,4,12930
1377,4,12933
1377,4,12937
1377,4,12940
1377,4,12967
1377,4,12970
1377,4,12993
1377,4,13055
1377,4,13064
1377,4,13077
1377,4,13131
1377,4,13147
1377,4,13149
1377,4,13155
1377,4,13158
1377,4,13167
1377,4,13196
1377,4,13200
1377,4,13203
1377,4,13212
1377,4,13220
1377,4,13240
1377,4,13247
1377,4,13277
1377,4,13285
1377,4,13297
1377,4,13301
1377,4,13308
1377,4,13314
1377,4,13329
1377,4,13396
1377,4,13420
1377,4,13429
1377,4,13430
1377,4,13447
1377,4,13455
1377,4,13471
1377,4,13475
1377,4,13476
1377,4,13489
1377,4,13500
1377,4,13507
1377,4,13515
1377,4,13539
1377,4,13555
1377,4,13558
1377,4,13592
1377,4,13611
1377,4,13614
1377,4,13681
1377,4,13720
1377,4,13722
1377,4,13741
1377,4,13810
1377,4,13811
1377,4,13816
1377,4,13835
1377,4,13838
1377,4,13846
1377,4,13865
1377,4,13869
1377,4,13873
1377,4,13892
1377,4,13928
1377,4,13939
1377,4,13940
1377,4,13963
1377,4,14001
1377,4,14019
1377,4,14034
1377,4,14038
1377,4,14044
1377,4,14045
1377,4,14081
1377,4,14126
1377,4,14163
1377,4,14167
1377,4,14173
